title;start;description;optimization;c_testOneRegi_region;CES_parameters;climate;downscaleTemperature;cm_magicc_calibrateTemperature2000;damages;internalizeDamages;cm_magicc_config;cm_magicc_temperatureImpulseResponse;cm_damage_DiceLike_specification;cm_damages_BurkeLike_persistenceTime;cm_damages_BurkeLike_specification;cm_damages_SccHorizon;cm_VRE_supply_assumptions;c_CES_calibration_new_structure;buildings;transport;industry;cm_DiscRateScen;cm_flex_tax;c_shBioTrans;cm_EDGEtr_scen;cm_esubGrowth;cm_INNOPATHS_reducCostB;cm_CES_calibration_default_prices;cm_CO2TaxSectorMarkup;c_ccsinjecratescen;cm_bioenergy_tax;cm_rcp_scen;cm_iterative_target_adj;subsidizeLearning;c_budgetCO2from2020;carbonprice;carbonpriceRegi;cm_NDC_version;cm_co2_tax_2020;cm_peakBudgYr;cm_taxCO2inc_after_peakBudgYr;cm_CO2priceRegConvEndYr;cm_emiscen;c_regi_earlyreti_rate;c_tech_earlyreti_rate;cm_fetaxscen;cm_co2_tax_growth;cm_bioenergymaxscen;c_ccscapratescen;techpol;cm_oil_scen;cm_gas_scen;cm_coal_scen;c_techAssumptScen;cm_nucscen;cm_so2tax_scen;cm_multigasscen;cm_OILRETIRE;cm_LU_emi_scen;cm_tradecost_bio;cm_1stgen_phaseout;c_SSP_forcing_adjust;cm_APscen;water;cm_cooling_shares;cm_startyear;path_gdx;path_gdx_ref;path_gdx_bau
# config/default.cfg on 2022-01-18 10:24:32;;;nash;EUR;load;off;off;uncalibrated;off;off;OLDDEFAULT;off;HowardNonCatastrophic;30;0;100;0;0;simple;edge_esm;subsectors;0;0;1;Mix;middle;none;0.01;off;1;1.5;none;0;off;1150;none;none;2022_cond;-1;2050;3;2050;1;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;3;1.05;0;1;none;medOil;medGas;medCoal;1;2;1;2;on;SSP2;2;0;forcing_SSP2;SSP2;off;dynamic;2005;;;
# ___Calibration___;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;initial value;initial value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-Base_covidCalib;0;;nash;EUR;calibrate;off;off;uncalibrated;off;off;OLDDEFAULT;off;HowardNonCatastrophic;15;0;100;0;1;simple;complex;fixed_shares;1;0;0.25;ConvCase;middle;none;0.1;;1;1.5;none;0;off;0;none;none;;-1;2100;3;2050;1;;;3;1.05;0;1;none;medOil;medGas;medCoal;1;2;1;2;off;SSP2;2;0;forcing_SSP2;SSP2;heat;dynamic;2005;;;
SSP2-Base_covidCalib_bIt;0;;nash;EUR;calibrate;off;off;uncalibrated;off;off;OLDDEFAULT;off;HowardNonCatastrophic;15;0;100;0;1;simple;complex;subsectors;1;0;0.25;ConvCase;middle;none;0.1;;1;1.5;none;0;off;0;none;none;;-1;2100;3;2050;1;;;3;1.05;0;1;none;medOil;medGas;medCoal;1;2;1;2;off;SSP2;2;0;forcing_SSP2;SSP2;heat;dynamic;2005;;;
SSP2-Base_covidCalib_bIT;0;;nash;EUR;calibrate;off;off;uncalibrated;off;off;OLDDEFAULT;off;HowardNonCatastrophic;15;0;100;0;1;simple;edge_esm;subsectors;1;0;0.25;ConvCase;middle;none;0.01;;1;1.5;none;0;off;0;none;none;;-1;2100;3;2050;1;;;3;1.05;0;1;none;medOil;medGas;medCoal;1;2;1;2;off;SSP2;2;0;forcing_SSP2;SSP2;heat;dynamic;2005;;;
SSP2-Base_covidCalib_BIT;0;;nash;EUR;calibrate;off;off;uncalibrated;off;off;OLDDEFAULT;off;HowardNonCatastrophic;15;0;100;0;1;services_putty;edge_esm;subsectors;1;0;0.25;ConvCase;middle;none;0.01;;1;1.5;none;0;off;0;none;none;;-1;2100;3;2050;1;;;3;1.05;0;1;none;medOil;medGas;medCoal;1;2;1;2;off;SSP2;2;0;forcing_SSP2;SSP2;heat;dynamic;2005;;;
# ___Baselines___;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-Base;1;SSP2-Base: This baseline scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. Industry sectors are modeled with fixed shares. A simple transport model based on LDV categories, electric trains and an aggregate category HDV is used. A simple buildings model represents demand in terms of energy carriers. No Damages from climate change are considered.;nash;EUR;load;off;off;uncalibrated;off;off;RCP26_50;off;HowardNonCatastrophic;15;0;100;0;0;simple;complex;fixed_shares;1;0;0.25;ElecEraWise;middle;none;0.1;;1;1.5;none;0;off;0;none;none;;-1;2100;3;2050;1;;;3;1.05;0;1;none;medOil;medGas;medCoal;1;2;1;2;off;SSP2;2;0;forcing_SSP2;SSP2;heat;dynamic;2005;;;
SSP2-Base_bIt;0;SSP2-Base_bIt: This baseline scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. Industry sectors are modeled explicitly with individual CES nests for cement, chemicals, steel, and other production. A simple transport model based on LDV categories, electric trains and an aggregate category HDV is used. A simple buildings model represents demand in terms of energy carriers. No Damages from climate change are considered.;nash;EUR;load;off;off;uncalibrated;off;off;RCP26_50;off;HowardNonCatastrophic;15;0;100;0;0;simple;complex;subsectors;1;0;0.25;ElecEraWise;middle;none;0.1;;1;1.5;none;0;off;0;none;none;;-1;2100;3;2050;1;;;3;1.05;0;1;none;medOil;medGas;medCoal;1;2;1;2;off;SSP2;2;0;forcing_SSP2;SSP2;heat;dynamic;2005;;;
SSP2-Base_bIT;1;SSP2-Base_bIT: This baseline scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. Industry sectors are modeled explicitly with individual CES nests for cement, chemicals, steel, and other production. The transport model EDGE-T with detailed modes/vehicles representation is used. A simple buildings model represents demand in terms of energy carriers. No Damages from climate change are considered.;nash;EUR;load;off;off;uncalibrated;off;off;RCP26_50;off;HowardNonCatastrophic;15;0;100;0;0;simple;edge_esm;subsectors;1;0;0.25;ElecEraWise;middle;none;0.01;;1;1.5;none;0;off;0;none;none;;-1;2100;3;2050;1;;;3;1.05;0;1;none;medOil;medGas;medCoal;1;2;1;2;off;SSP2;2;0;forcing_SSP2;SSP2;heat;dynamic;2005;SSP2-Base;SSP2-Base;SSP2-Base
