# |  (C) 2006-2022 Potsdam Institute for Climate Impact Research (PIK)
# |  authors, and contributors see CITATION.cff file. This file is part
# |  of REMIND and licensed under AGPL-3.0-or-later. Under Section 7 of
# |  AGPL-3.0, you are granted additional permissions described in the
# |  REMIND License Exception, version 1.0 (see LICENSE file).
# |  Contact: remind@pik-potsdam.de
name,type,reason
vm_costAddTeInv,input,questionnaire
cm_build_H2costAddH2Inv,input,questionnaire
cm_build_costDecayStart,input,questionnaire
cm_build_H2costDecayEnd,input,questionnaire
cm_HeatLim_b,input,questionnaire
cm_ElLim_b,input,questionnaire
pm_shGasLiq_fe_up,parameter,not needed
pm_shGasLiq_fe_lo,parameter,not needed
pm_shfe_up,parameter,not needed
pm_shfe_lo,parameter,not needed
pm_tau_fe_tax,input,questionnaire
pm_tau_fe_sub,input,questionnaire
sm_TWa_2_MWh,input,questionnaire
cm_CESMkup_build,input,questionnaire
vm_costCESMkup,input,questionnaire
sm_trillion_2_non,input,questionnaire
sm_TWa_2_kWh,input,questionnaire
